"a cozy cabin in the snowy mountains at sunrise, ultra detailed, cinematic lighting",20,42,t2i
"a futuristic city skyline at night, neon reflections in rain, cyberpunk, high contrast",20,42,t2i
"a cute corgi astronaut floating in space, whimsical, high quality, sharp focus",20,42,t2i
"a watercolor painting of a quiet lakeside village, soft brush strokes, pastel colors",20,42,t2i
"a macro photo of a dewdrop on a leaf, bokeh background, photorealistic",20,42,t2i
"an ancient library with towering bookshelves, warm lamplight, dust motes, fantasy vibe",20,42,t2i
"a dramatic portrait of a samurai in armor, studio lighting, shallow depth of field",20,42,t2i
"a surreal desert with giant floating islands, golden hour, wide angle, epic scale",20,42,t2i
"a snow leopard on a ridge under a full moon, volumetric light, bokeh background, sharp focus, highly detailed environment",20,42,t2i
"a grand piano in an empty theater in early morning fog, cyberpunk, line art, dust motes in the air",20,42,t2i
"a bonsai on a windowsill during a lantern festival, line art, oil painting texture, wide angle, 3D render, warm lamplight, dust motes in the air",20,42,t2i
"a tranquil hot spring in winter in crisp winter light, cinematic lighting, soft pastel colors, high contrast, golden highlights",20,42,t2i
"a tiny robot gardener in early morning fog, macro photography, soft rim light, grainy analog film, wide angle, subsurface scattering, natural skin tones",20,42,t2i
"a quiet lakeside village under soft overcast skies, film still, 3D render, whimsical mood, natural skin tones",20,42,t2i
"a minimalist concrete museum hall during a lantern festival, high contrast, studio lighting, oil painting texture, neon reflections in wet pavement",20,42,t2i
"a snow leopard on a ridge in a summer rain, grainy analog film, high contrast, oil painting texture, ambient occlusion, rich color grading",20,42,t2i
"a ballerina in a spotlight in early morning fog, dramatic shadows, ink wash, cyberpunk, realistic materials, whimsical mood",20,42,t2i
"a medieval blacksmith forge under a full moon, HDR, soft pastel colors, high contrast, floating particles",20,42,t2i
"a space station window view under soft overcast skies, sharp focus, oil painting texture, cool blue tones, whimsical mood",20,42,t2i
"a medieval blacksmith forge during a gentle snowfall, watercolor illustration, ink wash, shallow depth of field, realistic materials",20,42,t2i
"a secret underwater research lab at sunrise, studio lighting, ink wash, ray-traced reflections, rich color grading",20,42,t2i
"a mountain temple above the clouds after a thunderstorm, art nouveau, shallow depth of field, HDR, grainy analog film, delicate textures, ray-traced reflections",20,42,t2i
"a vintage motorcycle in a desert during a gentle snowfall, cyberpunk, photorealistic, isometric, whimsical mood, ambient occlusion",20,42,t2i
"a small fox in autumn leaves in early morning fog, studio lighting, watercolor illustration, intricate patterns",20,42,t2i
"a cozy kitchen with fresh bread under soft overcast skies, baroque, dramatic shadows, cool blue tones",20,42,t2i
"a sunflower field with a lone windmill after a thunderstorm, dramatic shadows, line art, watercolor illustration, macro photography, soft brush strokes",20,42,t2i
"a cosmic nebula vista during a gentle snowfall, cyberpunk, dramatic shadows, ultra detailed, delicate textures",20,42,t2i
"a floating steampunk airship port during a gentle snowfall, soft pastel colors, cinematic lighting, macro photography, epic scale, delicate textures",20,42,t2i
"a tiny robot gardener during a gentle snowfall, macro photography, ultra detailed, volumetric light, delicate textures, warm lamplight",20,42,t2i
"a jazz club stage in early morning fog, cyberpunk, watercolor illustration, bokeh background, shallow depth of field, floating particles",20,42,t2i
"a canyon with layered sandstone in crisp winter light, dramatic shadows, watercolor illustration, oil painting texture, shallow depth of field, golden highlights, intricate patterns",20,42,t2i
"a whale drifting through the sky during a gentle snowfall, macro photography, art nouveau, soft pastel colors, ink wash, quiet atmosphere",20,42,t2i
"a rainy alley with reflections under soft overcast skies, sharp focus, fantasy vibe, high contrast, subtle film grain, intricate patterns",20,42,t2i
"a tiny planet with one tree under a full moon, shallow depth of field, soft rim light, studio lighting, cinematic lighting, subsurface scattering, epic scale",20,42,t2i
"a sunflower field with a lone windmill in a summer rain, studio lighting, oil painting texture, volumetric light, golden highlights, highly detailed environment",20,42,t2i
"a cozy kitchen with fresh bread during a gentle snowfall, ink wash, macro photography, surreal, floating particles",20,42,t2i
"a medieval blacksmith forge in crisp winter light, HDR, ink wash, soft rim light, high contrast, dynamic composition, golden highlights",20,42,t2i
"a hidden waterfall cave after a thunderstorm, ink wash, soft rim light, macro photography, isometric, realistic materials, quiet atmosphere",20,42,t2i
"a crystal cave chamber at golden hour, dramatic shadows, cinematic lighting, bokeh background, realistic materials",20,42,t2i
"a porcelain teacup city in crisp winter light, shallow depth of field, isometric, photorealistic, rich color grading",20,42,t2i
"a desert oasis with palm shadows at dusk, studio lighting, cyberpunk, high contrast, dramatic shadows, floating particles",20,42,t2i
"a coral reef teeming with fish in a summer rain, dramatic shadows, cinematic lighting, whimsical mood, dynamic composition",20,42,t2i
"a neon-lit ramen shop interior at sunrise, volumetric light, film still, soft pastel colors, HDR, highly detailed environment",20,42,t2i
"a whale drifting through the sky in crisp winter light, watercolor illustration, minimalist, soft brush strokes, cool blue tones",20,42,t2i
"a chessboard battlefield at dusk, soft pastel colors, volumetric light, fantasy vibe, photorealistic, warm lamplight",20,42,t2i
"a secret underwater research lab in early morning fog, surreal, line art, cyberpunk, wide angle, dust motes in the air",20,42,t2i
"a snow leopard on a ridge at night, line art, fantasy vibe, 3D render, ambient occlusion, subtle film grain",20,42,t2i
"a lantern festival river during a gentle snowfall, cyberpunk, watercolor illustration, natural skin tones, intricate patterns",20,42,t2i
"a street photographer in Tokyo in early morning fog, volumetric light, shallow depth of field, minimalist, subsurface scattering, warm lamplight",20,42,t2i
"a cozy bookstore café during a lantern festival, oil painting texture, HDR, isometric, subtle film grain",20,42,t2i
"an alpine meadow with wildflowers at night, ink wash, oil painting texture, baroque, realistic materials",20,42,t2i
"a stormy lighthouse on rugged cliffs during a gentle snowfall, bokeh background, isometric, baroque, ultra detailed, subsurface scattering",20,42,t2i
"a quiet lakeside village in crisp winter light, cyberpunk, grainy analog film, ink wash, intricate patterns, warm lamplight",20,42,t2i
"a bustling night market at golden hour, watercolor illustration, high contrast, sharp focus, floating particles",20,42,t2i
"a hidden waterfall cave at golden hour, soft pastel colors, oil painting texture, art nouveau, fantasy vibe, epic scale",20,42,t2i
"a porcelain teacup city in crisp winter light, ultra detailed, bokeh background, art nouveau, macro photography, subsurface scattering, ambient occlusion",20,42,t2i
"a glacier lagoon at dusk at dusk, high contrast, sharp focus, ink wash, cool blue tones",20,42,t2i
"an underwater coral cathedral at dusk, volumetric light, HDR, high contrast, warm lamplight, intricate patterns",20,42,t2i
"a coastal cliff path under soft overcast skies, grainy analog film, ultra detailed, subsurface scattering, highly detailed environment",20,42,t2i
"a lantern festival river at night, bokeh background, cyberpunk, dust motes in the air",20,42,t2i
"a mountain temple above the clouds under soft overcast skies, watercolor illustration, soft rim light, natural skin tones, dynamic composition",20,42,t2i
"a medieval blacksmith forge in a summer rain, soft pastel colors, HDR, ultra detailed, dust motes in the air, natural skin tones",20,42,t2i
"a hidden waterfall cave during a lantern festival, ink wash, baroque, line art, minimalist, dust motes in the air",20,42,t2i
"a bioluminescent forest path under soft overcast skies, fantasy vibe, baroque, realistic materials",20,42,t2i
